Barack Obama (I)D 2012,Change in D%,Change in R%,Change in total votes 2016 to 2012,Clinton %,County,Donald J. Trump (Rep),Gary Johnson (L) 2012,Gary Johnson (Lib),Hillary Clinton (Dem),Johnson % 1,Johnson %,Mitt Romney 2012,Number of Records,Obama %,Romney %,State,Total 2012,Total 2016,Trump %,Trump - Clinton tableau,Vote % change 2016 to 2012
1758,-0.043430531,0.04542409,-80,20.50%,Appling,5492,92,77,1434,1.30%,1.10%,5233,1,24.80%,73.90%,Georgia,7083,7003,78.40%,0.579465943,-0.011294649
930,-0.053187536,0.051462734,-298,26.70%,Atkinson,1873,34,35,696,1.20%,1.30%,1938,1,32.00%,66.80%,Georgia,2902,2604,71.90%,0.451996928,-0.102687802
791,-0.049900694,0.04988483,80,15.10%,Bacon,3356,46,47,607,1.20%,1.20%,3093,1,20.10%,78.70%,Georgia,3930,4010,83.70%,0.68553616,0.020356234
794,-0.048296448,0.044173047,-149,45.10%,Baker,775,10,15,650,0.60%,1.00%,785,1,50.00%,49.40%,Georgia,1589,1440,53.80%,0.086805556,-0.093769666
8483,-0.027119769,0.010911522,-157,49.50%,Baldwin,7691,160,419,7965,1.00%,2.60%,7589,1,52.30%,46.80%,Georgia,16232,16075,47.80%,-0.017045101,-0.009672252
780,-0.02747471,0.017997852,753,9.80%,Banks,6130,59,132,684,1.00%,1.90%,5354,1,12.60%,86.50%,Georgia,6193,6946,88.30%,0.784048373,0.121588891
6028,-0.011089003,-0.011367858,3642,22.80%,Barrow,21105,433,1143,6580,1.70%,4.00%,18725,1,23.90%,74.30%,Georgia,25186,28828,73.20%,0.503850423,0.144604145
8396,-0.025693215,0.009892451,3481,20.90%,Bartow,29879,510,1180,8204,1.40%,3.00%,26876,1,23.50%,75.10%,Georgia,35782,39263,76.10%,0.552046456,0.09728355
2512,-0.067830618,0.059859256,-29,35.40%,Ben Hill,3734,44,91,2098,0.70%,1.50%,3396,1,42.20%,57.10%,Georgia,5952,5923,63.00%,0.276211379,-0.004872312
1273,-0.046706094,0.042884376,363,15.90%,Berrien,5408,84,114,1041,1.40%,1.70%,4843,1,20.50%,78.10%,Georgia,6200,6563,82.40%,0.665396922,0.058548387
38585,-0.006434885,-0.009334009,-2674,59.00%,Bibb,23985,482,1440,36591,0.70%,2.30%,25623,1,59.60%,39.60%,Georgia,64690,62016,38.70%,-0.203270124,-0.041335601
1269,-0.036883355,0.022347607,27,22.20%,Bleckley,3717,51,123,1094,1.00%,2.50%,3587,1,25.90%,73.10%,Georgia,4907,4934,75.30%,0.531617349,0.005502344
939,-0.057959386,0.057747444,283,9.80%,Brantley,5561,99,105,619,1.60%,1.70%,4964,1,15.60%,82.70%,Georgia,6002,6285,88.50%,0.786316627,0.04715095
3138,-0.065951052,0.059806304,-474,39.90%,Brooks,3679,50,85,2504,0.70%,1.40%,3554,1,46.50%,52.70%,Georgia,6742,6268,58.70%,0.187460115,-0.070305547
3707,-0.009623747,-0.013427114,1624,26.60%,Bryan,10513,172,540,4010,1.30%,3.60%,9560,1,27.60%,71.10%,Georgia,13439,15063,69.80%,0.431720109,0.120842325
9593,-0.033691446,0.010505196,82,36.50%,Bulloch,14476,302,863,8812,1.30%,3.60%,14174,1,39.90%,58.90%,Georgia,24069,24151,59.90%,0.23452445,0.003406872
5405,-0.046889175,0.040455853,-428,50.60%,Burke,4491,72,129,4730,0.70%,1.40%,4301,1,55.30%,44.00%,Georgia,9778,9350,48.00%,-0.025561497,-0.043771732
2968,-0.04585965,0.036056842,103,27.10%,Butts,6717,100,194,2566,1.10%,2.00%,6306,1,31.70%,67.30%,Georgia,9374,9477,70.90%,0.438007808,0.010987839
1298,-0.010932322,0.006222545,-165,58.20%,Calhoun,829,7,16,1178,0.30%,0.80%,883,1,59.30%,40.40%,Georgia,2188,2023,41.00%,-0.172516065,-0.075411335
6377,-0.040455983,0.021933496,842,31.40%,Camden,12287,263,624,5914,1.50%,3.30%,11343,1,35.50%,63.10%,Georgia,17983,18825,65.30%,0.338539177,0.046821999
1157,-0.055656124,0.043878788,229,27.20%,Candler,2661,27,73,1023,0.80%,1.90%,2344,1,32.80%,66.40%,Georgia,3528,3757,70.80%,0.435986159,0.064909297
12688,-0.021536357,0.004482583,2213,28.40%,Carroll,29983,563,1339,12422,1.40%,3.10%,28280,1,30.60%,68.10%,Georgia,41531,43744,68.50%,0.401449342,0.053285498
5365,-0.046888391,0.03200117,2853,18.00%,Catoosa,20860,434,881,4769,1.80%,3.30%,17858,1,22.70%,75.50%,Georgia,23657,26510,78.70%,0.606978499,0.120598554
1197,-0.067598261,0.064489278,245,25.00%,Charlton,2950,39,54,1004,1.00%,1.30%,2527,1,31.80%,67.20%,Georgia,3763,4008,73.60%,0.485528942,0.065107627
60246,0.003456526,-0.024583728,2564,55.80%,Chatham,45587,1111,3485,62053,1.00%,3.10%,47204,1,55.50%,43.50%,Georgia,108561,111125,41.00%,-0.148175478,0.023618058
729,-0.060793537,0.04572875,-106,42.80%,Chattahoochee,746,26,45,593,1.70%,3.30%,735,1,48.90%,49.30%,Georgia,1490,1384,53.90%,0.110549133,-0.07114094
2232,-0.089860294,0.086037888,424,19.50%,Chattooga,6457,138,177,1612,1.80%,2.10%,5452,1,28.50%,69.70%,Georgia,7822,8246,78.30%,0.587557604,0.054206085
19841,0.025186583,-0.052483898,12712,22.70%,Cherokee,80611,1758,5011,25203,1.80%,4.50%,76514,1,20.20%,78.00%,Georgia,98113,110825,72.70%,0.499959395,0.129564889
25431,0.034745563,-0.056700571,4025,66.70%,Clarke,12691,950,2016,29514,2.40%,4.60%,13815,1,63.30%,34.40%,Georgia,40196,44221,28.70%,-0.380430112,0.100134342
862,-0.066448852,0.062294396,-131,54.80%,Clay,566,3,8,697,0.20%,0.60%,537,1,61.50%,38.30%,Georgia,1402,1271,44.50%,-0.10306845,-0.093437946
81479,-0.00267481,-0.010628717,-4122,84.50%,Clayton,12579,424,1629,77737,0.40%,1.80%,14164,1,84.80%,14.70%,Georgia,96067,91945,13.70%,-0.708662788,-0.042907554
852,-0.064267235,0.059249596,-29,28.00%,Clinch,1724,22,34,685,0.90%,1.40%,1598,1,34.50%,64.60%,Georgia,2472,2443,70.60%,0.425296766,-0.011731392
133124,0.058758535,-0.086678069,16554,48.80%,Cobb,152602,5024,14406,159416,1.60%,4.40%,171722,1,43.00%,55.40%,Georgia,309870,326424,46.70%,-0.020874691,0.053422403
5057,-0.055660315,0.049002914,-553,29.40%,Coffee,9575,144,231,4090,1.00%,1.70%,9248,1,35.00%,64.00%,Georgia,14449,13896,68.90%,0.394717904,-0.038272545
